region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,Employment and related activities,rural+urban,female,major_activity,per_participant,406,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural+urban,person,major_activity,per_participant,482,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,male,major_activity,per_participant,109,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,female,major_activity,per_participant,71,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,person,major_activity,per_participant,84,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,male,major_activity,per_participant,68,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,female,major_activity,per_participant,44,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,person,major_activity,per_participant,47,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,male,major_activity,per_participant,103,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,female,major_activity,per_participant,61,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,person,major_activity,per_participant,73,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,male,major_activity,per_participant,101,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,female,major_activity,per_participant,288,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,person,major_activity,per_participant,249,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,male,major_activity,per_participant,95,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,female,major_activity,per_participant,292,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,person,major_activity,per_participant,252,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,male,major_activity,per_participant,99,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,female,major_activity,per_participant,290,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,person,major_activity,per_participant,250,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural,male,major_activity,per_participant,84,minutes_per_day,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,4.1,111,state_benchmark_not_local_diary
