observation_year,geography_level,ec_district_code,geography_name,table,dimension,category,measure,value_count,source,derivation,source_id,source_sha256,pdf_page,status
2013,historical_district,17,Parbhani,2.8,residence,combined,persons_engaged,106363,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,rural,establishments,76596,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,urban,establishments,21022,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,combined,establishments,97618,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,rural,persons_engaged,115971,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,urban,persons_engaged,41720,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,18,Jalna,2.8,residence,combined,persons_engaged,157691,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,rural,establishments,53674,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,urban,establishments,89684,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,combined,establishments,143358,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,rural,persons_engaged,100485,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,urban,persons_engaged,204235,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,19,Aurangabad,2.8,residence,combined,persons_engaged,304720,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,rural,establishments,80660,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,urban,establishments,133676,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,combined,establishments,214336,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,rural,persons_engaged,180437,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,urban,persons_engaged,405845,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,20,Nashik,2.8,residence,combined,persons_engaged,586282,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,21,Thane,2.8,residence,rural,establishments,47496,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
